,Media Source,Date,Text,Tweets Ago,Compound,Negative,Neutral,Positive
95,BBC News (UK),Wed Nov 07 00:04:52 +0000 2018,Newspaper headlines: 'We're on a knife edge' and Brexit leak https://t.co/80uku7id7i,96,-0.34,0.789,0.211,0.0
96,BBC News (UK),Tue Nov 06 23:47:21 +0000 2018,"RT @BBCWorld: We'll bring you the 2018 US mid-term #ElectionNight results 

Grab a coffee and settle in 

https://t.co/tkUBpRx8XU",97,0.0,1.0,0.0,0.0
97,BBC News (UK),Tue Nov 06 23:39:36 +0000 2018,"RT @BBCSport: A La Liga chief has accused Manchester City and Paris St-Germain of cheating and says both clubs must now be punished.

Full…",98,-0.8316,0.694,0.306,0.0
98,BBC News (UK),Tue Nov 06 23:36:58 +0000 2018,"RT @BBCWorld: Wondering what time US mid-term #ElectionNight results start to emerge?

This will help: https://t.co/xiMR7eQTus",99,0.4019,0.847,0.0,0.153
99,BBC News (UK),Tue Nov 06 23:34:03 +0000 2018,"Wednesday's Express: ""Give war widows pensions they deserve"" https://t.co/D9a7P5RbTx BBCPapers #tomorrowspaperstoday (via @hendopolis)",100,-0.5994,0.755,0.245,0.0
100,CBS News,Tue Nov 06 23:24:35 +0000 2018,Thousands sign competing petitions over teachers who wore border wall costumes https://t.co/aykrtlC92D https://t.co/VyOHkJ6yaR,1,0.0,1.0,0.0,0.0
101,CBS News,Tue Nov 06 23:09:38 +0000 2018,"2018 midterms #electionnight: We are one hour away from getting the first results of the night.

Control of the Hou… https://t.co/9oudZijNRa",2,0.0,1.0,0.0,0.0
102,CBS News,Tue Nov 06 23:04:35 +0000 2018,"U.S. stocks close higher on Election Day 2018
 https://t.co/8nIfMHYPWF https://t.co/1t2LwoRXVx",3,0.0,1.0,0.0,0.0
103,CBS News,Tue Nov 06 22:56:12 +0000 2018,"Throughout the night, we'll be watching these competitive districts in the race for control of the House of Represe… https://t.co/hRTB8Mh5ow",4,0.1779,0.918,0.0,0.082
104,CBS News,Tue Nov 06 22:50:02 +0000 2018,"""VOTE THEM OUT"": Protesters held a sign in front of the White House on Monday night ahead of today's #midterms2018,… https://t.co/i85OiVNpfY",5,-0.2263,0.909,0.091,0.0
105,CBS News,Tue Nov 06 22:34:52 +0000 2018,Christopher Watts pleads guilty to killing his young daughters and pregnant wife in a deal that removes the possibi… https://t.co/UFZlhHhHKF,6,-0.802,0.702,0.298,0.0
106,CBS News,Tue Nov 06 22:28:54 +0000 2018,RT @CBSEveningNews: WATCH: Millions of people across the country are lining up Tuesday to cast their vote in the #Midterms2018. https://t.c…,7,0.0,1.0,0.0,0.0
107,CBS News,Tue Nov 06 22:19:40 +0000 2018,Bangladeshi immigrant convicted of terrorism charges in NYC subway bombing https://t.co/tOTSFxpsIy https://t.co/ZW57k2fFpF,8,-0.7717,0.599,0.401,0.0
108,CBS News,Tue Nov 06 21:59:55 +0000 2018,The FBI has joined the search for a 13-year-old girl who was abducted outside her home in North Carolina.… https://t.co/xwnDhS6PcR,9,-0.5106,0.845,0.155,0.0
109,CBS News,Tue Nov 06 21:45:05 +0000 2018,Package bomb suspect Cesar Sayoc appears at Election Day court hearing https://t.co/TVKyDXjGCP https://t.co/bWUpqUfzoL,10,-0.6597,0.671,0.329,0.0
110,CBS News,Tue Nov 06 21:21:18 +0000 2018,WATCH: Fourth graders in Texas sing an adorable song about the importance of voting. https://t.co/VKOhNuO0J4 https://t.co/1MbKdoyNE4,11,0.6908,0.711,0.0,0.289
111,CBS News,Tue Nov 06 20:09:36 +0000 2018,"If history is any guide, investors can look forward to some good news after #Midterms2018 –- a stock market rally… https://t.co/2IPT4L4fJ4",12,0.4404,0.868,0.0,0.132
112,CBS News,Tue Nov 06 19:50:40 +0000 2018,If you haven't voted yet this #ElectionDay -- here's everything you need to know about voting in all 50 states… https://t.co/rT84VRbKjn,13,0.0,1.0,0.0,0.0
113,CBS News,Tue Nov 06 19:30:41 +0000 2018,Newlyweds' final moments before fatal helicopter crash captured on video https://t.co/btTC2mOQyd https://t.co/TdNyt8zTgW,14,-0.7351,0.617,0.383,0.0
114,CBS News,Tue Nov 06 19:09:45 +0000 2018,Duncan Hines cake mixes recalled over salmonella concerns  https://t.co/e8uredUGPi https://t.co/dYPLSOW2H2,15,0.0,1.0,0.0,0.0
115,CBS News,Tue Nov 06 18:50:38 +0000 2018,Migrants camp at Mexico City stadium as U.S. holds midterm elections https://t.co/MuiuW1vnb3 https://t.co/cTqpQuPkuk,16,0.0,1.0,0.0,0.0
116,CBS News,Tue Nov 06 18:32:05 +0000 2018,"Once known for her political silence, Taylor Swift is continuing her crusade to get fans to the polls on… https://t.co/LIrNVKFUlR",17,0.2023,0.913,0.0,0.087
117,CBS News,Tue Nov 06 17:54:54 +0000 2018,"82-year-old great-grandmother in hospice care votes for first time, dies just days after casting ballot… https://t.co/8ZDUcT3Axu",18,0.4939,0.824,0.0,0.176
118,CBS News,Tue Nov 06 17:40:00 +0000 2018,How campaigns use big data tools to micro-target voters https://t.co/NcJ4sbxZyi https://t.co/wT6j3CXYNl,19,0.0,1.0,0.0,0.0
119,CBS News,Tue Nov 06 17:24:33 +0000 2018,Pittsburgh mayor says call from President Trump after synagogue shooting turned to talk of death penalty… https://t.co/OyhVPMlaQ9,20,-0.5994,0.804,0.196,0.0
120,CBS News,Tue Nov 06 17:07:13 +0000 2018,"Border control agency postpones #ElectionDay ""crowd control exercise"" in Beto O'Rourke's hometown of El Paso, Texas… https://t.co/Nvsq6QdF3u",21,-0.2732,0.884,0.116,0.0
121,CBS News,Tue Nov 06 16:40:54 +0000 2018,"Ex-Nazi concentration camp guard Johann Rehbogen, 94, goes on trial in Germany https://t.co/vwgOhhh4Pi https://t.co/TVXTUz18qg",22,0.0,1.0,0.0,0.0
122,CBS News,Tue Nov 06 16:40:54 +0000 2018,"#Midterms2018 feature the most diverse group of candidates in U.S. history, including a record number of women… https://t.co/tWSZ3kc4qU",23,0.0772,0.925,0.0,0.075
123,CBS News,Tue Nov 06 16:22:11 +0000 2018,"RT @CBSThisMorning: WATCH: We asked young people across the country what's bringing them to the polls. 

#ElectionDay #Midterms2018 #IVoted…",24,0.0,1.0,0.0,0.0
124,CBS News,Tue Nov 06 16:20:35 +0000 2018,"No matter who wins between Democratic Rep. Kyrsten Sinema and Republican Rep. Martha McSally, Arizona will have its… https://t.co/IK73yFYRj9",25,0.3818,0.696,0.096,0.209
125,CBS News,Tue Nov 06 16:01:26 +0000 2018,"Watch the moment a Trump rally broke into ""Amazing Grace,"" after someone in the crowd fainted.… https://t.co/bIjtvrpq6O",26,0.25,0.68,0.136,0.184
126,CBS News,Tue Nov 06 15:44:42 +0000 2018,"Potential jurors in trial of drug lord ""El Chapo"" said they feared for their lives if selected… https://t.co/g7Qqg3E7nr",27,-0.4939,0.842,0.158,0.0
127,CBS News,Tue Nov 06 15:24:30 +0000 2018,"Amazon eyeing NYC, Virginia and Dallas for split second headquarters, multiple reports say https://t.co/rW27cLlTzT https://t.co/Qhviu5aChX",28,0.1779,0.892,0.0,0.108
128,CBS News,Tue Nov 06 15:04:34 +0000 2018,"After being named this year's Sexiest Man Alive by People, Idris Elba concedes, ""It was a nice surprise - an ego bo… https://t.co/BKevKEVHmt",29,0.7579,0.706,0.0,0.294
129,CBS News,Tue Nov 06 14:44:47 +0000 2018,"The race for the U.S. Senate seat in Missouri could not be tighter heading into #ElectionDay, as Democrat Sen. Clai… https://t.co/Rxp0NudT6B",30,0.0,1.0,0.0,0.0
130,CBS News,Tue Nov 06 14:24:48 +0000 2018,The open Florida gubernatorial race between Republican Rep. Ron DeSantis and Democratic Tallahassee Mayor Andrew Gi… https://t.co/Zz0F2JmUqw,31,0.0,1.0,0.0,0.0
131,CBS News,Tue Nov 06 14:05:00 +0000 2018,Facebook blocks 115 potentially bogus accounts on #ElectionEve after tip from federal authorities… https://t.co/OrCzoQpQEa,32,-0.2263,0.872,0.128,0.0
132,CBS News,Tue Nov 06 14:00:19 +0000 2018,"RT @CBSThisMorning: ""President Trump has made this, he wants it to be, a referendum on him... I think it's a referendum on us.""  -- Former…",33,0.0,1.0,0.0,0.0
133,CBS News,Tue Nov 06 13:59:45 +0000 2018,"RT @CBSThisMorning: ""Franklin D. Roosevelt said something that has always stuck with me. He said, a nation does not have to be cruel to be…",34,-0.7003,0.791,0.209,0.0
134,CBS News,Tue Nov 06 13:45:35 +0000 2018,"RT @CBSThisMorning: ""Of all the [elections] that I've covered, I've never gone into one when I was more unsure of what was going to happen.…",35,-0.3167,0.909,0.091,0.0
135,CBS News,Tue Nov 06 13:45:03 +0000 2018,"RT @CBSThisMorning: Today's #Midterms2018 feature the most diverse group of candidates in U.S. history. A record number of women, people fr…",36,0.0772,0.936,0.0,0.064
136,CBS News,Tue Nov 06 13:44:30 +0000 2018,"Democrat Stacey Abrams and Republican Brian Kemp are facing off in what could be a historic election, as Abrams has… https://t.co/FrK9DyWcpv",37,0.0,1.0,0.0,0.0
137,CBS News,Tue Nov 06 13:25:04 +0000 2018,HOCKEY PUPS: A hockey team in North Carolina got a cute distraction on the ice Monday – puppies that serve a purpos… https://t.co/pwCVJ3enDd,38,0.1027,0.752,0.115,0.133
